Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Female,18,34,0,64
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Male,20,60,2,74
Working fulltime,Private,No,No,Very likely,Not easy,Very likely,"Suburb, lrg city",$50000 to 59999,Other,Male,14,49,5,50
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,13,52,0,63
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,16,35,0,38
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,White,Female,16,33,0,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,20,35,1,69
Working fulltime,Private,Yes,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,White,Male,17,37,0,39
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$10000 to 12499,White,Male,11,68,5,24
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Female,12,47,1,59
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$50000 to 59999,White,Male,14,42,0,42
Working fulltime,Private,No,No,Dont know,Not easy,Don't know,"Suburb, lrg city",$75000 to $89999,White,Male,18,56,2,48
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Female,18,57,1,39
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,12,62,3,58
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,15,61,1,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Don't know,"Suburb, lrg city",$20000 to 22499,White,Female,6,56,1,32
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$22500 to 24999,White,Female,12,59,2,55
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,White,Male,11,19,0,45
Working fulltime,Private,No,No,Not at all likely,Very easy,Not too likely,"Suburb, lrg city",$50000 to 59999,White,Male,12,40,2,44
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Refused,White,Male,14,55,3,43
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,18,32,3,59
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,16,46,1,72
Working fulltime,Private,Yes,No,Very likely,Somewhat easy,Not too likely,"Suburb, lrg city",$20000 to 22499,White,Male,9,23,0,25
Temp not working,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,14,50,0,40
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,24,2,31
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",Don't know,Other,Female,16,52,4,25
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,51,2,24
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$30000 to 34999,White,Female,12,50,0,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,White,Female,16,55,0,38
Working fulltime,Private,Yes,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",Not applicable,White,Male,12,21,0,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$75000 to $89999,White,Male,15,49,2,44
Working fulltime,Private,No,No,Not at all likely,Don't know,Not likely,"Uninc,lrg city",$110000 or over,White,Male,19,61,2,69
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",$6 000 to 6 999,White,Male,15,21,0,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$30000 to 34999,White,Male,14,28,0,36
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,16,45,0,51
Temp not working,Private,Not applicable,Not applicable,No answer,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Black,Male,9,61,4,24
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Uninc,lrg city",$40000 to 49999,White,Female,12,35,0,47
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,Other,Female,12,32,0,0
Temp not working,Government,No,No,No answer,No answer,No answer,"Uninc,lrg city",$40000 to 49999,White,Female,18,31,1,64
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$35000 to 39999,White,Male,16,32,0,64
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$90000 - $109999,White,Male,12,58,4,73
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,Other,Female,16,33,3,0
Working fulltime,Private,Yes,No,Very likely,Not applicable,Not applicable,"Suburb, med city",$60000 to 74999,White,Female,18,51,3,64
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$50000 to 59999,White,Male,19,33,2,51
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$30000 to 34999,White,Male,12,58,1,30
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$20000 to 22499,White,Male,15,25,0,39
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$50000 to 59999,White,Female,19,28,1,62
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,33,1,50
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Male,14,37,1,45
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$30000 to 34999,White,Female,13,29,3,47
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not too likely,"Suburb, lrg city",$22500 to 24999,White,Male,11,25,1,47
Retired,Government,No,Don't know,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,50,0,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,White,Female,16,No answer,3,47
Working parttime,No answer,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,63,3,41
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$75000 to $89999,Black,Male,16,46,0,50
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Male,16,67,3,45
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$20000 to 22499,White,Male,14,55,2,35
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$4 000 to 4 999,Other,Male,16,34,1,38
Working fulltime,Private,No,No,Dont know,Somewhat easy,Not likely,"Suburb, lrg city",$50000 to 59999,Other,Female,14,34,0,33
Temp not working,Government,No,No,No answer,No answer,No answer,"Suburb, lrg city",$10000 to 12499,White,Female,19,26,3,53
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$60000 to 74999,White,Female,16,31,0,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,18,74,2,31
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Male,17,62,2,53
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,White,Male,16,44,1,65
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Male,14,35,0,40
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,Black,Female,13,38,1,35
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,12,69,3,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,Other,Male,6,35,5,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Other,Female,13,59,4,31
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,76,3,31
Working parttime,Government,No,No,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$25000 to 29999,White,Male,14,62,3,54
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,70,4,48
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,69,4,38
Working fulltime,No answer,Not applicable,Not applicable,Not at all likely,Don't know,Not likely,"Suburb, lrg city",$6 000 to 6 999,White,Male,12,No answer,3,17
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Female,13,70,5,53
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,79,5,39
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,56,3,0
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,15,47,3,62
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Refused,White,Male,No answer,62,3,50
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,15,56,1,47
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not too likely,"Suburb, lrg city",Under $1 000,White,Male,14,27,1,39
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",Refused,Other,Male,14,30,1,31
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not too likely,"Suburb, lrg city",$4 000 to 4 999,White,Male,12,30,0,24
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,15,64,0,46
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not likely,"Suburb, lrg city",$60000 to 74999,Other,Female,16,36,1,60
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$17500 to 19999,White,Female,12,27,0,46
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, med city",$1 000 to 2 999,White,Male,12,18,0,31
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,14,64,2,39
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,Other,Female,15,38,3,17
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, med city",Refused,White,Male,12,49,3,24
